timestamp,trade_count,volume,avg_trade_size,return,volatility,score,prediction
2026-02-15 12:42:26,806,1.9659700000000153,0.0024391687344913343,0.0007185890509750768,14.498210230979248,0.0,1
2026-02-15 12:44:51,616,1.9229100000000003,0.0031216071428571434,-3.559077809799948e-05,3.3201474887739097,,
2026-02-15 12:45:11,1773,4.930660000000012,0.0027809701071630074,-3.645663418518177e-05,13.048711569388626,,
2026-02-15 12:50:57,2142,8.251100000000049,0.0038520541549953544,-0.0007571938416235305,17.738575907279817,,
2026-02-15 12:51:18,1566,5.64800000000001,0.00360664112388251,-0.000378812308296743,9.822995851304915,,
2026-02-15 12:51:38,1000,2.865400000000035,0.002865400000000035,0.00011673385539291729,8.447251359503566,,
2026-02-15 12:51:58,1677,3.785850000000097,0.0022575134168158002,-3.919282799863024e-05,11.938684087401558,,
2026-02-15 12:52:18,1119,1.6655800000000154,0.0014884539767649825,0.00018624477885226403,6.0527400735600105,,
2026-02-15 12:52:38,1220,4.061550000000035,0.003329139344262324,-0.0003112082747077962,10.198955923134037,,
2026-02-15 12:52:58,615,1.1406300000000038,0.0018546829268292744,-6.437835473818253e-05,4.8687522742401335,,
2026-02-15 12:53:19,875,3.7792000000000328,0.0043190857142857515,0.0002465134372714285,9.037342844811544,,
2026-02-15 12:53:39,900,1.9850700000000225,0.0022056333333333586,0.0005634225883968334,14.192978111293904,,
2026-02-15 12:53:59,1153,0.7391300000000013,0.0006410494362532534,-0.0005352288210427603,11.686124534181179,,
2026-02-15 12:54:19,1015,1.8666800000000088,0.001839093596059122,0.0003726009433884417,8.032549583886192,,
2026-02-15 12:54:39,777,2.9376600000000392,0.003780772200772251,-0.0002557906777237549,6.087702383037856,,
2026-02-15 12:55:00,726,1.6504599999999963,0.0022733608815426946,-1.4301625858542777e-07,3.505727586114636,,
2026-02-15 12:55:20,1536,4.607279999999941,0.0029995312499999614,3.575406466508739e-05,6.7268961749949785,,
2026-02-15 12:55:40,330,0.6284799999999997,0.0019044848484848476,-3.589579236971741e-05,1.770674842954309,,
2026-02-15 12:56:00,152,0.6249799999999995,0.004111710526315786,1.4301627903908093e-07,0.0038893729588112304,,
2026-02-15 12:56:21,731,1.4496300000000084,0.0019830779753762084,0.0,4.217635205777795,,
2026-02-15 12:56:41,2293,4.852789999999974,0.0021163497601395438,-4.347694885056525e-05,12.61373204285639,,
2026-02-15 12:57:01,425,0.9737599999999992,0.002291199999999998,0.00024843004227165667,5.635268718769596,,
2026-02-15 12:57:21,361,0.5981399999999987,0.0016568975069252041,0.00025079911834255457,4.754073957361472,,
2026-02-15 12:57:41,1120,5.291209999999895,0.004724294642857049,0.0003693855962489137,7.396107866409315,,
2026-02-15 12:58:01,1023,2.340360000000031,0.0022877419354839015,-0.00036910630261517815,8.179143349051134,,
2026-02-15 12:58:21,428,4.025510000000007,0.009405397196261699,-1.4295106162979523e-07,1.8471704086448961,,
2026-02-15 12:58:42,1505,6.856659999999996,0.004555920265780729,0.0005150528225766512,10.44580904494363,,
